"What Rahul Gandhi did a few days back, Narendra Modi did it better!! #CR7 #BJP @narendramodi SUUUIIIIIIIII!!!!","pos"
"#GautamGambhir Entry in #Bjp Accelerate frustration of 'Drama King' Kejriwal already surrender in front of Congress.","pos"
"#MeraParivarBJPParivar My wife Tejasvini and sister in law Shraddha joined BJP Women's Cell Today! #BJP","pos"
"Congratulations @MinGirishBapat ji on being nominated as the official candidate of @BJP4India for Loksabha 2019. I look forward to working alongside you in achieving our common goal of making our #Pune a dream city and re-electing @narendramodi ji as our Prime Minister. #BJP","pos"
"I will file my nomination as #BJP candidate for #BengaluruCentral #LokSabha Constituency at 12 noon on Friday, March 22, 2019. I look forward to your support. @BJP4Karnataka @BJP4India","pos"
"#BJP decides to not field a candidate in Mandya. BJP will support Sumalatha, w/o of revered late Ambareesh, against Deve Gowda's grandson Nikhil Gowda. Ambaressh earlier held that seat on Cong ticket. Cong paying the price for alliance and BJP will make it pay #Checkmate","pos"
"#BJP releases list of 11 #candidates for the upcoming #LokSabhaelections","pos"
"#ConstituencyUpdate: Glimpses of massive #BJP public rally at #Kathua, after the filing of Lok Sabha nomination papers for Udhampur-Kathua-Doda constituency.","pos"
"#BIGNEWS: PM @narendramodi is likely to contest from #BengaluruSouth. @BJP4India high command reportedly alerted the state party unit to make the required preparations. #BJP Election in-charge Dr Muralidhar Rao has reportedly alerted @BJP4Karnataka leaders.","pos"
"An Eminent personality will join @BJP4India today (Thursday) 21 March, 4:45 PM at #BJP Head Office, 6A Deendayal Upadhyay Marg, New Delhi.","pos"
"#BIGNEWS: #BJP workers clash with actor-cum-politician #PrakashRai in #BBMP premises, chant pro-Modi slogans. Prakash Rai counters #BJP workers slogans by highlighting Modi's failures.","pos"
"Indian chokidars I mean men are busy in fighting against #FakeCases_498a_DV_125_377_376 done by Indian #ablaNari. We vote for #BJP if #Bjp support #GenderNeutralLaws. We need #MensCommission because #MensRightsRHumanRights.","pos"
"Another feather in @narendramodi ji-led #BJP Government's cap....The inauguration of 'Ambulance Train'  for Indian Army.....Inaugurated by #DGMS.#ModiOnceMore","pos"
"OMG OMG!!! I can't believe this. PM of world's largest democracy & President of largest political party have reposed faith in a 28 yr old guy to represent them in a constituency as prestigious as B'lore South. This can happen only in my BJP. Only in #NewIndia of @narendramodi","pos"
"#JayaPrada says that she was joining the BJP as she was impressed with the work of Prime Minister @narendramodi.","pos"
"BJP workers protest outside Patna airport against Ravi Shankar Prasad and RK Sinha #LokSabhaElections2019","pos"
"#BREAKING : Actor turned politician #JayaPrada joins @BJP4India #LokSabhaElections2019","pos"
" 'Self-respect hurt,' says BJP minister Giriraj Singh, denied preferred Bihar seat","pos" 
"BJP has released list of star campaigners for #LokSabhaElections2019 for UP. PM Narendra Modi, Amit Shah, Rajnath Singh, Nitin Gadkari, Arun Jaitley, Sushma Swaraj, Uma Bharti feature on the list. Names of LK Advani & Murli Manohar Joshi missing from the list 40 star campaigners","pos"
"ElectionWatch: Union minister #NitinGadkari says the BJP and its allies would win over 300 Lok Sabha seats in the elections.","pos"
"But Indian election campaign looks like there's a campaign against Pakistan... Pathetic dude... #LokSabhaElections2019 #ModiBest","pos"
"#LokSabhaElections2019 : Hema Malini forgets her work for Mathura as BJP MP, says ìhave done a lot but canít remember right nowî","pos"
"BJP's Hema Malini offers prayers at Bankey Bihari Temple in Mathura before filing nomination from the parliamentary constituency. Uttar Pradesh Chief Minister Yogi Adityanath also present. #LokSabhaElections2019","pos"
"''I will call out the bluff,'' Finance Minister @arunjaitley addresses media after @RahulGandhi announced #MinimumIncomeGuarantee for the poor","pos"
"WATCH | ìWhy is Rahul Gandhi remembering the poor now?î says Union Minister Ravi Shankar Prasad after Rahul Gandhi announced #MinimumIncomeGuarantee for the poor if Congress is voted to power. #LokSabhaElections2019","pos"
"Tejasvi Surya, 28-yr-old BJP candidate from Bangalore South LS constituency on his candidacy: It's a mix of surprise & sense of gratitude. Have been active karyakarta from days in ABVP; It is the only party that recognises potential of karyakartas. #LokSabhaElections2019","pos"
"LokSabhaElections2019 |?@myogiadityanath says @BJP4India did more in 5 years than Congress in 55 years","pos"
